200±¶,200±¶,200±¶,200±¶,200±¶,200±¶,200±¶,200±¶,200±¶,200±¶,XX
420,20,10,420,60,400,26,50,420,500,
410,150,50,220,40,20,28,460,360,60,
40,165,25,320,30,60,600,45,280,40,
50,500,50,10,500,40,60,48,50,100,
30,400,400,20,400,1000,450,180,60,60,
630,40,600,30,40,20,180,240,800,50,
360,80,600,70,60,50,36,28,600,500,
50,450,10,320,400,60,400,600,50,410,
410,360,610,220,80,40,500,400,40,60,
40,40,20,180,60,600,62,48,90,120,
580,400,30,250,600,1200,1000,800,400,480,
40,380,800,200,800,50,80,200,500,400,
40,800,400,20,50,160,60,1200,60,1200,
1050,60,320,720,20,800,480,800,50,60,
400,500,1000,800,400,1500,384,400,400,50,
XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
4550,4345,4925,3800,3540,6000,4346,5499,4160,4090
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
152%,145%,164%,127%,118%,200%,145%,183%,139%,136%
