鱼id,鱼的名字,鱼的玩法类型,客户端创建鱼类型,鱼的半径,倍率最小值,倍率最大值,死亡倍率,可能触发双倍奖励所需最低倍率,组合鱼携带子鱼个数,组合鱼位置1可选子鱼id列表-1,组合鱼位置2可选子鱼id列表-2,组合鱼位置3可选子鱼id列表-3,组合鱼位置4可选子鱼id列表-4,组合鱼位置5可选子鱼id列表-5,组合鱼位置6可选子鱼id列表-6,鱼死亡伤害半径,鱼死亡可伤害的鱼id列表,鱼层级最小值,鱼层级最大值,鱼死亡的层级,鱼死亡延迟时间,鱼创建时的音效,鱼死亡时的音效,鱼移动动画名字,锁定鱼的图片,得分显示,加分提示显示,金币效果id,被特效鱼杀死的金币效果id,金币数量,鱼死亡效果Id,被特效鱼杀死的鱼死亡效果id,鱼死亡的缩放X,鱼死亡的缩放Y,鱼死亡的缩放Z,是否有出鱼提示,出鱼提示资源,出鱼提示时间,是否出现显示内容,显示内容概率,显示时间,提示内容信息-1,是否抖屏,手机是否震动
id,fishName,fishRuleType,clientBuildFishType,fishRadius,ratioMin,ratioMax,ratioDeath,doubleAwardMinRatio,childFishCount,childFishIds_1,childFishIds_2,childFishIds_3,childFishIds_4,childFishIds_5,childFishIds_6,damageRadius,damageFishIds,layerMin,layerMax,fishDieLayer,fishDieTime,fishBornAudio,FishDieAudio,fishMoveAnimationName,lockIcon,winScoreID,plusTipsID,coinEffectId,fishKillFishCoinEffectID,coinEffectCount,dieEffectId,fishDamageFishDieEffectID,dieScaleX,dieScaleY,dieScaleZ,fishOutTipsID,fishOutTipsResource,fishOutTipsTime,isTipsContent,TCProbability,tCShowTime,TipsContentInfo,IsShakeScreen,IsPhoneVibrate
int,string,int,int,float,int,int,int,int,int,string,string,string,string,string,string,int,string,int,int,int,float,string,string,string,string,int,int,int,int,int,int,int,float,float,float,int,string,float,int,float,float,string,int,int
1,沙丁鱼,1,1,20,2,2,3,9999,0,0,0,0,0,0,0,0,0,-1000,-970,100,0.5,0,12:19:32:24:28,Fish_Move,1,102,301,10001,0,2,1001,0,1.3,1.3,1,0,0,0,0,0.3,3,沙丁鱼,0,0
2,小丑鱼,1,1,22,3,3,4,9999,0,0,0,0,0,0,0,0,0,-965,-935,95,0.5,0,12:19:32:24:28,Fish_Move,1,102,301,10001,0,2,1001,0,1.3,1.3,1,0,0,0,0,0.3,3,小丑鱼,0,0
3,蓝藻鱼,1,1,37,4,4,5,9999,0,0,0,0,0,0,0,0,0,-930,-900,90,1,0,12:19:32:24:28,Fish_Move,1,102,301,10001,0,2,1001,0,1.3,1.3,1,0,0,0,0,0.3,3,蓝藻鱼,0,0
4,红抖鱼,1,1,41,5,5,6,9999,0,0,0,0,0,0,0,0,0,-895,-865,85,1,0,12:19:32:24:28,Fish_Move,1,102,301,10001,0,2,1001,0,1.3,1.3,1,0,0,0,0,0.3,3,红抖鱼,0,0
5,蓝抖鱼,1,1,50.5,6,6,7,9999,0,0,0,0,0,0,0,0,0,-860,-830,80,1,0,12:19:32:24:28,Fish_Move,1,102,301,10001,0,2,1001,0,1.3,1.3,1,0,0,0,0,0.3,3,蓝抖鱼,0,0
6,小乌贼,1,1,43,7,7,8,9999,0,0,0,0,0,0,0,0,0,-825,-795,75,1,0,12:19:32:24:28,Fish_Move,1,102,301,10001,0,2,1001,0,1.3,1.3,1,0,0,0,0,0.3,3,小乌贼,0,0
7,神仙鱼,1,1,39,8,8,9,9999,0,0,0,0,0,0,0,0,0,-790,-760,70,1,0,12:19:32:24:28,Fish_Move,1,102,301,10001,0,3,1001,0,1.3,1.3,1,0,0,0,0,0.3,3,神仙鱼,0,0
8,海马,1,1,73,9,9,10,9999,0,0,0,0,0,0,0,0,0,-755,-725,65,1,0,12:19:32:24:28,Fish_Move,1,102,301,10001,0,3,1001,0,1.3,1.3,1,0,0,0,0,0.2,3,海马,0,0
9,河豚,1,1,53,10,10,11,9999,0,0,0,0,0,0,0,0,0,-720,-690,60,1,0,12:19:32:24:28,Fish_Move,1,102,301,10001,0,4,1001,0,1.3,1.3,1,0,0,0,1,0.2,3,疼疼疼！轻点轻点,0,0
10,乌龟,1,1,54,11,11,12,9999,0,0,0,0,0,0,0,0,0,-685,-655,55,1,0,12:19:32:24:28,Fish_Move,1,102,301,10001,0,4,1001,0,1.3,1.3,1,0,0,0,1,0.2,3,来打我呀:我不怕你！,0,0
11,水母,1,1,60.5,12,12,13,9999,0,0,0,0,0,0,0,0,0,-650,-620,50,1,0,12:19:32:24:28,Fish_Move,1,102,301,10001,0,5,1001,0,1.3,1.3,1,0,0,0,1,0.2,3,一闪一闪亮晶晶！,0,0
12,蝴蝶鱼,1,1,63,13,13,14,9999,0,0,0,0,0,0,0,0,0,-615,-585,45,1,0,8,Fish_Move,1,102,301,10001,0,5,1001,0,1.3,1.3,1,0,0,0,1,0.2,3,疼疼疼！轻点轻点,0,0
13,黄金神仙鱼,1,1,83,14,14,15,9999,0,0,0,0,0,0,0,0,0,-580,-550,40,1,0,7,Fish_Move,1,102,301,10001,0,6,1001,0,1.3,1.3,1,0,0,0,1,0.2,3,神仙打架:殃及鱼池！,0,0
14,鳐鱼,1,1,85,15,15,16,9999,0,0,0,0,0,0,0,0,0,-545,-515,35,1,0,12:19:32:24:28,Fish_Move,1,102,301,10001,0,6,1001,0,1.3,1.3,1,0,0,0,1,0.2,3,大哥！别老打我呀！,0,0
15,安康鱼,1,1,104,20,20,25,9999,0,0,0,0,0,0,0,0,0,-510,-480,30,1,0,12:19:32:24:28,Fish_Move,1,102,301,10001,0,7,1001,0,1.3,1.3,1,0,0,0,1,0.2,3,别碰我灯泡！,0,0
16,旗鱼,1,1,135,25,25,30,9999,0,0,0,0,0,0,0,0,0,-475,-445,25,1,0,22,Fish_Move,1,102,301,10001,0,7,1001,0,1.3,1.3,1,0,0,0,1,0.2,3,离我远点！,0,0
17,黄金盔甲鱼,1,1,141,30,30,35,9999,0,0,0,0,0,0,0,0,0,-440,-410,20,1,0,15,Fish_Move,1,102,301,10001,0,8,1001,0,1.3,1.3,1,0,0,0,1,0.2,3,我有头盔！,0,0
18,锤头鲨,1,1,183,35,35,40,9999,0,0,0,0,0,0,0,0,0,-400,-390,15,1,0,3,Fish_Move,1,102,301,10001,0,9,1001,0,1.3,1.3,1,0,0,0,1,0.2,3,嘤嘤嘤！,0,0
19,虎鲸,1,1,74.5,40,40,45,9999,0,0,0,0,0,0,0,0,0,-385,-375,10,1,0,9,Fish_Move,1,102,301,10001,0,10,1001,0,1.3,1.3,1,0,0,0,1,0.2,3,好疼！,0,0
20,黄金锤头鲨,1,1,216,50,50,55,9999,0,0,0,0,0,0,0,0,0,-370,-360,5,1,0,14:18,Fish_Move,1,102,301,10001,0,11,1001,0,1.3,1.3,1,0,0,0,1,0.2,3,等我找到武器！,0,0
21,金龟,1,1,216,60,60,65,9999,0,0,0,0,0,0,0,0,0,-355,-345,1,1,0,13,Fish_Move,1,102,301,10001,0,12,1001,0,1.3,1.3,1,0,0,0,1,0.2,3,我有防弹衣！,1,0
23,银龙鱼,1,1,126,75,75,80,9999,0,0,0,0,0,0,0,0,0,#REF!,#REF!,-10,1,0,29,Fish_Move,1,102,301,10001,0,13,1001,0,1.3,1.3,1,0,0,0,1,0.2,3,我跟那个土鳖金色没有任何关系！,1,0
24,金龙鱼,1,1,205,80,80,90,9999,0,0,0,0,0,0,0,0,0,#REF!,#REF!,-15,1,0,16,Fish_Move,1,102,301,10001,0,14,1001,0,1.3,1.3,1,0,0,0,1,0.2,3,一点都不疼！,1,0
25,火箭鲨,1,1,142,90,90,100,9999,0,0,0,0,0,0,0,0,0,#REF!,#REF!,-20,1,0,11,Fish_Move,1,102,301,10001,0,15,1001,0,1.3,1.3,1,0,0,0,1,0.2,3,你赢不了我！,1,0
26,钢铁霸王,1,1,172,80,150,0,9999,0,0,0,0,0,0,0,0,0,-280,-270,-25,1,0,4,Fish_Move,1,102,301,10001,0,15,1001,0,1.3,1.3,1,1,FishOutTips_26,1.8,1,0.2,3,咬碎一切！,1,1
27,章鱼DJ（左）,1,1,209,90,200,0,9999,0,0,0,0,0,0,0,0,0,-265,-250,-30,1.5,0,31:33:00,Fish_Move,1,102,301,10001,0,15,1001,0,1,1,1,1,FishOutTips_27,1.8,1,0.2,3,来！一起嗨起来吧！,1,1
28,机械螃蟹,1,1,99,100,300,0,9999,1,0,0,0,0,0,0,0,0,-245,-235,-35,1,0,17,Fish_Move,1,102,301,10001,0,15,1001,0,1.2,1.2,1,1,FishOutTips_28,1.8,1,0.2,3,你是在玩火！,1,1
30,闪电河豚,17,1,100,10,10,100,9999,2,0,0,0,0,0,0,600,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16,-215,#REF!,-45,1,0,23,Fish_Move,1,102,301,10001,0,15,1003,0,1.2,1.2,1,1,FishOutTips_30,1.8,1,0.2,3,在打我我就放电呀！哎呀！你还打！,1,1
31,炸弹海马,9,1,120,10,10,100,9999,3,0,0,0,0,0,0,800,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16,-190,-180,-50,1,0,30,Fish_Move,1,102,301,10001,0,15,1009,0,1.2,1.2,1,1,FishOutTips_31,1.8,1,0.2,3,别惹我:生气了连我自己都炸！,1,1
32,财神,103,1,145,0,0,100,9999,5,0,0,0,0,0,0,0,0,-175,-165,-55,1,0,2,Fish_Move,1,102,301,10001,0,15,1001,0,1.2,1.2,1,1,FishOutTips_32,1.8,1,0.2,3,和气生财！和气生财！,0,0
