20±¶,20±¶,20±¶,20±¶,20±¶,20±¶,20±¶,20±¶,20±¶,20±¶,XX
9,73,8,8,8,11,10,44,8,4,
8,4,6,40,10,78,9,45,4,4,
8,8,45,40,8,9,10,7,98,4,
11,10,31,8,45,11,99,8,4,6,
8,12,32,10,8,7,5,9,6,4,
10,90,9,9,117,60,2,7,6,48,
50,9,6,9,8,98,6,88,44,74,
10,8,48,56,46,12,10,43,8,83,
60,9,8,55,8,9,78,40,9,65,
100,78,8,68,120,4,68,2,85,55,
70,10,10,11,36,51,6,68,8,8,
58,112,68,45,8,31,2,2,4,4,
7,10,40,7,66,9,78,21,4,45,
3,68,7,78,86,45,8,8,45,4,
11,10,6,8,8,8,69,71,5,46,
6,10,8,45,11,8,10,4,128,9
8,110,7,7,8,20,9,8,7,4
40,10,55,7,45,55,112,69,20,4
8,45,77,68,55,45,78,8,8,77
48,10,7,8,8,11,2,8,2,4
8,6,5,45,20,13,80,78,2,44
8,98,68,111,45,33,11,45,45,4
44,12,40,12,8,9,8,8,4,46
55,9,8,111,38,8,78,8,98,2
7,8,68,42,8,9,10,32,4,88
9,12,9,60,9,78,7,70,75,21
46,11,9,90,99,12,69,6,5,2
90,6,45,68,5,10,10,50,9,9
7,69,8,7,19,68,99,88,10,2
35,10,40,95,78,9,9,40,5,48
9,10,6,7,4,68,9,69,45,2
9,8,8,8,11,78,12,140,5,46
10,8,35,19,9,38,45,8,61,4
45,11,7,6,7,25,5,78,69,15
10,99,8,47,68,11,9,80,60,4
50,6,6,40,8,7,55,8,6,48
9,7,69,32,20,45,4,8,68,11
11,9,29,66,4,9,2,145,6,8
7,6,30,6,8,10,10,8,71,8
15,98,33,8,78,50,8,2,6,49
10,8,7,145,9,11,62,60,19,8
68,9,9,20,9,58,56,69,6,9
8,9,77,13,68,5,2,7,11,10
10,7,36,12,9,7,80,4,2,8
9,11,45,78,8,69,9,8,70,9
12,78,9,8,11,10,11,60,8,5
40,8,12,69,15,9,7,4,16,50
77,20,96,17,9,7,59,78,75,105
11,17,13,8,78,12,48,6,2,2
50,20,7,78,9,11,5,69,13,2
7,13,8,8,8,96,8,2,69,8
10,68,9,66,10,8,5,45,2,2
49,12,99,10,9,8,35,40,20,6
68,10,8,9,49,12,5,2,21,28
115,11,48,12,8,96,20,82,2,9
14,10,26,44,9,9,99,9,88,11
17,6,11,8,12,9,2,48,12,111
112,48,10,26,68,12,5,7,2,10
17,46,10,35,8,14,2,2,8,3
99,99,45,8,15,78,9,60,2,49
9,8,10,45,9,14,78,233,78,6
16,46,8,10,12,10,7,2,2,92
12,9,5,12,12,47,20,69,8,8
112,10,35,10,99,79,2,7,9,9
47,60,48,99,9,19,6,72,2,3
4,10,35,10,8,7,11,128,8,6
53,11,10,110,8,8,82,9,8,9
6,7,10,210,12,11,10,88,6,45
10,8,9,9,25,13,7,2,75,8
6,21,45,56,8,15,5,6,6,8
68,17,36,11,10,68,10,48,106,112
20,60,7,7,12,4,8,39,100,8
6,12,32,8,16,5,62,33,8,2
9,8,6,6,20,69,52,2,104,68
8,22,66,44,45,7,9,49,45,2
99,11,8,41,8,77,8,62,6,2
121,66,35,8,9,10,11,9,120,8
9,6,7,11,55,69,9,99,33,80
51,12,98,8,9,6,45,54,8,99
61,68,7,9,9,41,8,2,21,8
XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
2547,2181,2119,2865,2071,2292,2190,3206,2358,2041
1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
159%,136%,132%,179%,129%,143%,137%,200%,147%,128%
