鱼id,鱼的名字,鱼的玩法类型,客户端创建鱼类型,鱼的半径,倍率最小值,倍率最大值,死亡倍率,可能触发双倍奖励所需最低倍率,组合鱼携带子鱼个数,组合鱼位置1可选子鱼id列表-1,组合鱼位置2可选子鱼id列表-2,组合鱼位置3可选子鱼id列表-3,组合鱼位置4可选子鱼id列表-4,组合鱼位置5可选子鱼id列表-5,组合鱼位置6可选子鱼id列表-6,鱼死亡伤害半径,鱼死亡可伤害的鱼id列表,鱼层级最小值,鱼层级最大值,鱼死亡的层级,鱼死亡延迟时间,鱼创建时的音效,鱼死亡时的音效,鱼移动动画名字,鱼死亡动画名字,锁定鱼的图片,金币数量,鱼死亡效果Id,被特效鱼杀死的小鱼死亡效果id,鱼死亡的旋转角度,是否有出鱼提示,出鱼提示资源,出鱼提示动画,出鱼提示时间,手机是否震动,是否抖屏,出生特效,死亡特效01类型,死亡特效01的生命时间,是否出现显示内容,显示内容概率,显示时间,提示内容信息-1
id,fishName,fishRuleType,clientBuildFishType,fishRadius,ratioMin,ratioMax,ratioDeath,doubleAwardMinRatio,childFishCount,childFishIds_1,childFishIds_2,childFishIds_3,childFishIds_4,childFishIds_5,childFishIds_6,damageRadius,damageFishIds,layerMin,layerMax,fishDieLayer,fishDieTime,fishBornAudio,FishDieAudio,fishMoveAnimationName,fishDieAnimationName,lockIcon,coinEffectCount,dieEffectId,fishDamageSmallFishDieEffectID,dieRotationAngle,fishOutTipsID,fishOutTipsResource,fishOutTipsAnimation,fishOutTipsTime,IsPhoneVibrate,IsShakeScreen,BornEffectName,BornEffectType,BornEffectLifeTime,isTipsContent,TCProbability,tCShowTime,TipsContentInfo
int,string,int,int,float,int,int,int,int,int,string,string,string,string,string,string,int,string,int,int,int,float,string,string,string,string,string,int,int,int,float,int,string,string,float,int,int,string,int,float,int,float,float,string
1,迦纳鱼,1,1,20,2,2,2,30,0,0,0,0,0,0,0,0,0,-790,-760,-20,2,0,0:0:1:2,Fish_Move,Fish_Catch,1,1,1001,0,180,0,0,0,0,0,0,nil,0,0,0,0.2,3,来打我呀！！！
2,小丑鱼,1,1,22,3,3,3,30,0,0,0,0,0,0,0,0,0,-965,-935,-20,2,0,0:0:1:2,Fish_Move,Fish_Catch,1,1,1001,0,180,0,0,0,0,0,0,nil,0,0,0,0.2,3,来打我呀！！！
3,鲽鱼,1,1,37,4,4,4,30,0,0,0,0,0,0,0,0,0,-930,-900,-20,2,0,0:0:1:2,Fish_Move,Fish_Catch,1,2,1001,0,180,0,0,0,0,0,0,0,0,0,0,0.2,3,来打我呀！！！
4,河豚,1,1,41,5,5,5,30,0,0,0,0,0,0,0,0,0,-895,-865,-20,2,0,0:0:1:2,Fish_Move,Fish_Catch,1,2,1001,0,180,0,0,0,0,0,0,0,0,0,0,0.2,3,来打我呀！！！
5,狮子鱼,1,1,50.5,6,6,6,30,0,0,0,0,0,0,0,0,0,-860,-830,-20,2,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,2,1001,0,180,0,0,0,0,0,0,0,0,0,0,0.2,3,来打我呀！！！
6,比目鱼,1,1,43,7,7,7,30,0,0,0,0,0,0,0,0,0,-825,-795,-20,2,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,3,1001,0,180,0,0,0,0,0,0,0,0,0,0,0.2,3,来打我呀！！！
7,龙虾,1,1,39,8,8,8,30,0,0,0,0,0,0,0,0,0,-1000,-970,-20,2,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,3,1001,0,180,0,0,0,0,0,0,0,0,0,0,0.2,3,来打我呀！！！
8,旗鱼,1,1,73,9,9,9,30,0,0,0,0,0,0,0,0,0,-755,-725,-20,2,0,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,Fish_Move,Fish_Catch,1,3,1001,0,180,0,0,0,0,0,0,0,0,0,0,0.2,3,来打我呀！！！
