200±¶,200±¶,200±¶,200±¶,200±¶,200±¶,200±¶,200±¶,200±¶,200±¶,XX
39,43,72,400,18,25,461,44,87,34,
38,345,60,300,43,59,37,45,67,51,
40,35,50,65,51,49,74,48,500,34,
30,300,80,400,50,600,70,900,95,50,
48,65,50,25,75,70,44,47,75,47,
20,48,90,60,24,78,269,50,60,382,
32,150,500,300,300,400,390,360,40,400,
30,240,506,87,467,56,31,40,750,30,
36,29,84,44,300,78,20,89,58,20,
20,300,300,500,66,200,11,51,66,33,
26,40,45,35,41,60,43,400,300,32,
400,40,44,60,50,30,25,35,53,300,
475,500,65,20,18,46,800,65,40,300,
220,100,50,57,30,454,29,200,300,32,
45,60,373,60,25,61,35,15,65,30,
XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
1499,2295,2369,2413,1558,2266,2339,2389,2556,1775
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
50%,77%,79%,80%,52%,76%,78%,80%,85%,59%
